Run,Implementation,Mode,TestName,Status,ErrorIEV,OutputFile,NbPktSend,isPass,ErrorsCode
1308,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/574/quic_client_test_retry0.iev,0.0,0.0,11
1309,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/266/quic_client_test_retry0.iev,0.0,0.0,4
1310,quinn,client,quic_client_test_retry,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/17/quic_client_test_retry0.iev,7.0,0.0,8
1311,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/287/quic_client_test_retry0.iev,0.0,0.0,4
1312,quant,client,quic_client_test_retry,,require connected(dcid) -> connected_to(dcid) = scid+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/684/quic_client_test_retry0.iev,16.0,0.0,14
1313,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1570/quic_client_test_version_negociation0.iev,1.0,0.0,9
1314,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1477/quic_client_test_version_negociation0.iev,29.0,0.0,1
1315,quant,client,quic_client_test_retry,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/233/quic_client_test_retry0.iev,0.0,0.0,4
1316,quant,client,quic_client_test_version_negociation,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1307/quic_client_test_version_negociation0.iev,0.0,0.0,3
1317,quant,client,quic_client_test_retry,,frame.connection_close:{err_code:0}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/569/quic_client_test_retry0.iev,0.0,0.0,11
1318,quiche,client,quic_client_test_retry,,server_return_code(254)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/484/quic_client_test_retry0.iev,45.0,0.0,12
1319,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1462/quic_client_test_version_negociation0.iev,26.0,0.0,1
1320,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/789/quic_client_test_retry0.iev,1.0,0.0,9
1321,mvfst,client,quic_client_test_version_negociation,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1583/quic_client_test_version_negociation0.iev,1.0,0.0,9
1322,quant,client,quic_client_test_version_negociation,,Handshake not completed (undecryptable_packet_event),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1351/quic_client_test_version_negociation0.iev,0.0,0.0,3
1323,picoquic,client,quic_client_test_version_negociation,,Handshake not completed (unable to proceed VN),/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/903/quic_client_test_version_negociation0.iev,3.0,0.0,5
1324,quant,client,quic_client_test_version_negociation,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1021/quic_client_test_version_negociation0.iev,0.0,0.0,4
1325,aioquic,client,quic_client_test_retry,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/335/quic_client_test_retry0.iev,0.0,0.0,0
1326,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1196/quic_client_test_version_negociation0.iev,0.0,0.0,0
1327,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1494/quic_client_test_version_negociation0.iev,33.0,0.0,1
1328,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/729/quic_client_test_retry0.iev,1.0,0.0,9
1329,quiche,client,quic_client_test_version_negociation,,require connected(dcid) |+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1204/quic_client_test_version_negociation0.iev,3.0,0.0,6
1330,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/705/quic_client_test_retry0.iev,1.0,0.0,9
1331,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1108/quic_client_test_version_negociation0.iev,0.0,0.0,0
1332,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/787/quic_client_test_retry0.iev,1.0,0.0,9
1333,mvfst,client,quic_client_test_retry,,server_return_code(134)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/796/quic_client_test_retry0.iev,1.0,0.0,9
1334,quant,client,quic_client_test_version_negociation,,server_return_code(127)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1078/quic_client_test_version_negociation0.iev,0.0,0.0,4
1335,quant,client,quic_client_test_version_negociation,,require ~_generating & ~queued_non_ack(scid) -> ack_credit(scid) > 0  # [5]+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1498/quic_client_test_version_negociation0.iev,27.0,0.0,1
1336,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1190/quic_client_test_version_negociation0.iev,0.0,0.0,0
1337,quinn,client,quic_client_test_version_negociation,,frame.connection_close:{err_code:0xc}+,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/888/quic_client_test_version_negociation0.iev,5.0,0.0,8
1338,aioquic,client,quic_client_test_version_negociation,,server_return_code(1)+timeout,/home/user/Documents/QUIC-FormalVerification/results/client-retry-vn-2/1139/quic_client_test_version_negociation0.iev,0.0,0.0,0
